,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser,matchid
0,1,0,4,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic,SentinelsvsFnatic30-05-21
1,2,0,3,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic,SentinelsvsFnatic30-05-21
2,3,3,0,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic,SentinelsvsFnatic30-05-21
3,4,3,0,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic,SentinelsvsFnatic30-05-21
4,5,4,0,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic,SentinelsvsFnatic30-05-21
5,6,3,0,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic,SentinelsvsFnatic30-05-21
6,7,0,4,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic,SentinelsvsFnatic30-05-21
7,8,4,0,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic,SentinelsvsFnatic30-05-21
8,9,3,0,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic,SentinelsvsFnatic30-05-21
9,10,3,0,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic,SentinelsvsFnatic30-05-21
10,11,3,0,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic,SentinelsvsFnatic30-05-21
11,12,3,0,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic,SentinelsvsFnatic30-05-21
12,13,0,3,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic,SentinelsvsFnatic30-05-21
13,14,0,3,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic,SentinelsvsFnatic30-05-21
14,15,0,3,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic,SentinelsvsFnatic30-05-21
15,16,0,3,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic,SentinelsvsFnatic30-05-21
16,17,0,4,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic,SentinelsvsFnatic30-05-21
17,18,0,3,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic,SentinelsvsFnatic30-05-21
18,19,2,0,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic,SentinelsvsFnatic30-05-21
19,20,2,0,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic,SentinelsvsFnatic30-05-21
20,21,1,0,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic,SentinelsvsFnatic30-05-21
21,22,0,3,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic,SentinelsvsFnatic30-05-21
22,23,0,3,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic,SentinelsvsFnatic30-05-21
23,24,2,0,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic,SentinelsvsFnatic30-05-21
